Region,LAWA Site ID,Site name,Estuary name,Date sampled ,Indicator,Units,Indicator value,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2021/01/01,Mud_content,%,0.4,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2020/01/01,Mud_content,%,0.4,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2020/01/01,Macrofauna,N/A,2.76,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2019/01/01,Arsenic,mg/kg,6.8,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2019/01/01,Copper,mg/kg,2.3,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2019/01/01,Lead,mg/kg,2.3,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2019/01/01,Mercury,mg/kg,<ALD,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2019/01/01,Zinc,mg/kg,25,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2019/01/01,Mud_content,%,1.0,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2019/01/01,Macrofauna,N/A,2.85,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2014/01/01,Mud_content,%,0.8,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2013/01/01,Mud_content,%,1.0,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2013/01/01,Macrofauna,N/A,2.87,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2012/01/01,Mud_content,%,0.6,,,,,,,,
Auckland,LAWA-103130,Haratahi Creek,Kaipara Harbour (South),2012/01/01,Macrofauna,N/A,2.82,,,,,,,,
