Council/Agency,Region,Site name,Estuary name,Latitude,Longitude,Date sampled ,Indicator,Units,Indicator value
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2021,Mud_content,%,0.4
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2020,Mud_content,%,0.4
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2020,Macrofauna,N/A,2.76
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2019,Arsenic,mg/kg,6.8
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2019,Copper,mg/kg,2.3
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2019,Lead,mg/kg,2.3
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2019,Mercury,mg/kg,<ALD
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2019,Zinc,mg/kg,25
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2019,Mud_content,%,1
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2019,Macrofauna,N/A,2.85
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2014,Mud_content,%,0.8
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2013,Mud_content,%,1
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2013,Macrofauna,N/A,2.87
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2012,Mud_content,%,0.6
Auckland Council,Auckland,Haratahi Creek,Kaipara Harbour (South),-36.48181756,174.2885468,1/01/2012,Macrofauna,N/A,2.82
