term,estimate,std.error,statistic,p.value,model,effect
(Intercept),5102.355399,1879.145719,2.715252653,0.0066625,lm_bioabove,NA
year,-2.172626694,0.935362326,-2.322764808,0.020261941,lm_bioabove,NA
inside_mpaOutside MPA,7970.697243,3518.173715,2.265578078,0.023552037,lm_bioabove,NA
bioregionTemperate North Atlantic,-724.7220568,3435.742377,-0.210936088,0.83295224,lm_bioabove,NA
bioregionTemperate North Pacific,-743.694263,3050.101935,-0.243826036,0.807383123,lm_bioabove,NA
bioregionTemperate Southern,-32072.14837,3557.485822,-9.015397382,3.51E-19,lm_bioabove,NA
bioregionTropical Atlantic,1495.033149,6851.071945,0.218218866,0.827274226,lm_bioabove,NA
bioregionTropical Indo Pacific,-6865.501612,2743.354514,-2.502593659,0.01238434,lm_bioabove,NA
GenusCymodocea,-639.5834155,31.55690007,-20.26762496,2.00E-85,lm_bioabove,NA
GenusEnhalus,-582.6500477,32.7877317,-17.77036768,4.41E-67,lm_bioabove,NA
GenusHalodule,-698.9783187,32.05407292,-21.80622476,1.29E-97,lm_bioabove,NA
GenusHalophila,-688.8049271,31.65185777,-21.76191148,2.94E-97,lm_bioabove,NA
GenusPhyllospadix,-188.2518696,42.88438861,-4.389752907,1.18E-05,lm_bioabove,NA
GenusPosidonia,-458.373127,32.67442538,-14.02849849,2.79E-43,lm_bioabove,NA
GenusRuppia,-711.9054935,32.70903009,-21.76479986,2.79E-97,lm_bioabove,NA
GenusSyringodium,-641.6789721,33.30754726,-19.26527244,7.68E-78,lm_bioabove,NA
GenusThalassia,-606.4381739,31.5589889,-19.21602038,1.78E-77,lm_bioabove,NA
GenusThalassodendron,-525.3086303,35.68445709,-14.72093659,2.49E-47,lm_bioabove,NA
GenusZostera,-668.1815437,30.10054318,-22.1983218,7.95E-101,lm_bioabove,NA
year:inside_mpaOutside MPA,-3.973607436,1.754611677,-2.264664876,0.023608135,lm_bioabove,NA
year:bioregionTemperate North Atlantic,0.361537584,1.706247924,0.211890417,0.832207694,lm_bioabove,NA
year:bioregionTemperate North Pacific,0.382512725,1.517934211,0.251995589,0.801062663,lm_bioabove,NA
year:bioregionTemperate Southern,16.04036978,1.776628453,9.028544914,3.13E-19,lm_bioabove,NA
year:bioregionTropical Atlantic,-0.730978076,3.401802382,-0.214879642,0.829876548,lm_bioabove,NA
year:bioregionTropical Indo Pacific,3.400857521,1.365055235,2.491369897,0.01278168,lm_bioabove,NA
inside_mpaOutside MPA:bioregionTemperate North Atlantic,-17197.03946,4958.425617,-3.468245929,0.000531639,lm_bioabove,NA
inside_mpaOutside MPA:bioregionTemperate North Pacific,-21362.96576,4780.481346,-4.468789692,8.17E-06,lm_bioabove,NA
inside_mpaOutside MPA:bioregionTemperate Southern,8419.251685,5305.74468,1.586818099,0.112664898,lm_bioabove,NA
inside_mpaOutside MPA:bioregionTropical Atlantic,-17964.6651,7571.455417,-2.372683204,0.017725478,lm_bioabove,NA
inside_mpaOutside MPA:bioregionTropical Indo Pacific,-15190.6419,4347.264409,-3.494299051,0.00048256,lm_bioabove,NA
year:inside_mpaOutside MPA:bioregionTemperate North Atlantic,8.572749367,2.469012985,3.472136202,0.000524027,lm_bioabove,NA
year:inside_mpaOutside MPA:bioregionTemperate North Pacific,10.67084707,2.382192789,4.479422121,7.78E-06,lm_bioabove,NA
year:inside_mpaOutside MPA:bioregionTemperate Southern,-4.259430517,2.650196304,-1.607213213,0.108118494,lm_bioabove,NA
year:inside_mpaOutside MPA:bioregionTropical Atlantic,8.942077457,3.763060558,2.376277851,0.01755407,lm_bioabove,NA
year:inside_mpaOutside MPA:bioregionTropical Indo Pacific,7.552259982,2.166399809,3.486087818,0.000497553,lm_bioabove,NA
