Latitude,Longitude,Seagr bioregion,Habitat,Genus,Year obs,biom above dm [g/m**2],biom below dm [g/m**2],biom tot dm [g/m**2],shoot dens [#/m**2],coverage [%], leaf dens [#/m**2],production above dm [g/m**2/day],production below dm [g/m**2/day],production total dm [g/m**2/day],shoot production dm [g/m**2/day],leaf production dm [g/m**2/day]
42.561,8.781,Mediterranean,Coastal,Posidonia,2014,,,,559,,,,,,,
42.561,8.781,Mediterranean,Coastal,Posidonia,2014,,,,453,,,,,,,
42.561,8.781,Mediterranean,Coastal,Posidonia,2014,,,,246,,,,,,,
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,140,24.8,,,,,,
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,188,34.7,,,,,,
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,112,20.5,,,,,,
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Enhalus,2017,,,,4,1.5,,,,,,
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Enhalus,2017,,,,8,2.7,,,,,,
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Enhalus,2017,,,,12,4.7,,,,,,
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Syringodium,2017,,,,40,14.9,,,,,,
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Syringodium,2017,,,,84,7.3,,,,,,
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Syringodium,2017,,,,20,1.3,,,,,,
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,8,0.7,,,,,,
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,12,0.7,,,,,,
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,152,6.8,,,,,,
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Halodule,2017,,,,12,1.3,,,,,,
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Halodule,2017,,,,88,4,,,,,,
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Halodule,2017,,,,60,3.3,,,,,,
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Thalassia,2017,,,,,,,,,,,
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Thalassia,2017,,,,,,,,,,,
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Thalassia,2017,,,,24,5,,,,,,
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Halophila,2017,,,,,,,,,,,
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Halophila,2017,,,,,,,,,,,
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Halophila,2017,,,,20,0.7,,,,,,
-2.266053,106.324451,Tropical Indo Pacific,Coastal,Halodule,2017,,,,,,,,,,,
-2.270009,106.326637,Tropical Indo Pacific,Coastal,Halodule,2017,,,,16,0.3,,,,,,
-2.265747,106.332173,Tropical Indo Pacific,Coastal,Halodule,2017,,,,16,0.3,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1992,2.5,,,80.98,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1992,7,,,119.02,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1992,11,,,188.96,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1992,8,,,122.09,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1992,9,,,185.28,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1992,,,,204.91,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1992,4,,,16.07,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1992,9,,,8.11,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1992,22,,,21.53,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1992,13,,,19.66,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1992,15,,,21.61,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1992,1,,,2.89,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1992,20,,,542.4,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1992,63,,,530.24,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1992,30,,,487.69,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1992,59,,,619.91,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1992,43,,,556.84,,,,,,,
